"Story","Title","Result","Date","Stability","Duration (s)"
"Login verification test","Verify unable to login","SUCCESS","2020-07-21T19:02:20.9208964+05:00[Asia/Karachi]","0.0","35.68"
"Login verification test","Verify login into site","SUCCESS","2020-07-21T19:03:04.0007096+05:00[Asia/Karachi]","0.0","24.95"
"Login verification test","Test1","IGNORED","2020-07-21T19:03:35.3130392+05:00[Asia/Karachi]","0.0","1.92"
"Login verification test","Test2","IGNORED","2020-07-21T19:03:37.8023789+05:00[Asia/Karachi]","0.0","1.81"
"Login verification test","Verify login page is appearing","IGNORED","2020-07-21T19:03:40.1241645+05:00[Asia/Karachi]","0.0","1.75"
